,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
4,0.7998157143592834,0.8870131969451904,0.4377302825450897,250,250,0.7053939553235797,SWB_ASR
0,0.8412401676177979,0.9155484437942505,0.4548022747039795,0,0_p_future,0.7232813835223324,SWB_ASR
1,0.8449501991271973,0.912856936454773,0.49180328845977783,0,0_p_future,0.7430087434115471,SWB_ASR
2,0.8427628874778748,0.9114860892295837,0.48537003993988037,0,0_p_future,0.7411250817605495,SWB_ASR
3,0.8304013013839722,0.9077442288398743,0.42818182706832886,0,0_p_future,0.7098178221076752,SWB_ASR
4,0.8428608179092407,0.9181422591209412,0.45136186480522156,0,0_p_future,0.7262784154389859,SWB_ASR
0,0.7780811786651611,0.8803995251655579,0.36556291580200195,500,500_p_future,0.6733310347656514,SWB_ASR
1,0.7862561941146851,0.8889987468719482,0.3720279633998871,500,500_p_future,0.689320307623743,SWB_ASR
2,0.7894953489303589,0.8883917331695557,0.3907734155654907,500,500_p_future,0.6929411060397268,SWB_ASR
3,0.7765994668006897,0.8775715231895447,0.3695090413093567,500,500_p_future,0.6614780751010797,SWB_ASR
4,0.7875325679779053,0.8897676467895508,0.37535014748573303,500,500_p_future,0.6915553136269956,SWB_ASR
0,0.7716473340988159,0.8741829991340637,0.3583333194255829,750,750_p_future,0.6619558625781106,SWB_ASR
1,0.7801146507263184,0.8831378817558289,0.3648351728916168,750,750_p_future,0.6776834445118254,SWB_ASR
2,0.7798973917961121,0.880942702293396,0.3725910186767578,750,750_p_future,0.6790808658739157,SWB_ASR
3,0.7740134000778198,0.8747954368591309,0.3677685856819153,750,750_p_future,0.6532285706752445,SWB_ASR
4,0.7833502888679504,0.882472574710846,0.3837953209877014,750,750_p_future,0.6786546084144102,SWB_ASR
0,0.7464171051979065,0.8626865744590759,0.3185185194015503,1000,1000_p_future,0.6430526470480179,SWB_ASR
1,0.7574841380119324,0.8738007545471191,0.3294117748737335,1000,1000_p_future,0.6729123039053602,SWB_ASR
2,0.7556592226028442,0.8711110949516296,0.33076924085617065,1000,1000_p_future,0.6723107020831037,SWB_ASR
3,0.7575457096099854,0.858670711517334,0.3853820562362671,1000,1000_p_future,0.638249017230611,SWB_ASR
4,0.7621936798095703,0.8769344091415405,0.33992093801498413,1000,1000_p_future,0.6589790220066865,SWB_ASR
0,0.6866680383682251,0.7928802371025085,0.40186914801597595,1250,1250_p_future,0.634890037676334,SWB_ASR
1,0.6913983821868896,0.7993579506874084,0.4019138813018799,1250,1250_p_future,0.6579047285259499,SWB_ASR
2,0.7046488523483276,0.8310502171516418,0.36571428179740906,1250,1250_p_future,0.6524431204182365,SWB_ASR
3,0.7070621848106384,0.8200312852859497,0.40414509177207947,1250,1250_p_future,0.6567948830281258,SWB_ASR
4,0.7069806456565857,0.8439821600914001,0.3396226465702057,1250,1250_p_future,0.6341452729343731,SWB_ASR
0,0.6387892365455627,0.7307692170143127,0.4444444477558136,1500,1500_p_future,0.6109332676680621,SWB_ASR
1,0.6373056769371033,0.732824444770813,0.4354838728904724,1500,1500_p_future,0.6793277517852745,SWB_ASR
2,0.6439964175224304,0.7876712083816528,0.3404255211353302,1500,1500_p_future,0.6457769022408274,SWB_ASR
3,0.6399751305580139,0.7148594260215759,0.48175182938575745,1500,1500_p_future,0.6101329721743414,SWB_ASR
4,0.6141082644462585,0.7455196976661682,0.336448609828949,1500,1500_p_future,0.6161044077813347,SWB_ASR
0,0.7222222089767456,0.7727272510528564,0.6428571343421936,250,250,0.7348484848484849,CND
1,0.7123129367828369,0.7669172883033752,0.6265060305595398,250,250,0.7121212121212122,CND
2,0.6887174844741821,0.725806474685669,0.6304348111152649,250,250,0.7175324675324675,CND
3,0.7135558724403381,0.7633587718009949,0.6352941393852234,250,250,0.7002164502164503,CND
4,0.7209076881408691,0.7761194109916687,0.6341463327407837,250,250,0.7077922077922079,CND
0,0.781685471534729,0.8310810923576355,0.6835442781448364,0,0_p_future,0.7722202858138725,CND
1,0.7693267464637756,0.8300653696060181,0.6486486196517944,0,0_p_future,0.7620686650400836,CND
2,0.7911043167114258,0.8615384697914124,0.6511628031730652,0,0_p_future,0.7788428023701639,CND
3,0.7741735577583313,0.8327868580818176,0.6577181220054626,0,0_p_future,0.7521348902056466,CND
4,0.782227635383606,0.8403908610343933,0.6666666865348816,0,0_p_future,0.7788428023701639,CND
0,0.6515220403671265,0.7605633735656738,0.4516128897666931,500,500_p_future,0.6161616161616161,CND
1,0.664392352104187,0.746268630027771,0.5142857432365417,500,500_p_future,0.6287878787878788,CND
2,0.6548036336898804,0.6896551847457886,0.5909090638160706,500,500_p_future,0.6641414141414141,CND
3,0.6186158657073975,0.7246376872062683,0.42424243688583374,500,500_p_future,0.5732323232323232,CND
4,0.686274528503418,0.7575757503509521,0.5555555820465088,500,500_p_future,0.6565656565656566,CND
0,0.48951053619384766,0.4545454680919647,0.5384615659713745,750,750_p_future,0.5,CND
